date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018-04-13,26.37,26.99,25.9,25.85,76200.94,0.04,0.15,26.362,25.854,25.593,152069.13,127699.83,133600.8
2018-04-12,26.2,26.29,25.87,25.8,89667.01,-0.82,-3.07,26.408,25.736,25.523,163947.66,127274.3,137038.26
2018-04-11,26.56,27.42,26.7,26.31,195686.0,0.53,2.02,26.402,25.646,25.46,182440.18,130818.93,136816.19
2018-04-10,27.2,27.78,26.2,25.51,210269.52,-0.92,-3.39,26.04,25.383,25.327,157547.71,120393.59,129388.09
2018-04-09,26.05,27.33,27.14,26.05,188522.16,1.04,3.98,25.79,25.156,25.211,125655.61,114851.74,120874.51
2018-04-04,25.83,26.5,26.13,25.51,135593.59,0.31,1.2,25.346,25.1,25.053,103330.54,107103.37,113169.23
2018-04-03,24.7,26.5,25.84,24.62,182129.64,0.96,3.86,25.064,25.087,24.942,90600.95,107204.12,108539.91
2018-04-02,24.55,24.92,24.89,24.45,71223.65,-0.05,-0.2,24.89,25.162,24.851,79197.68,103180.26,101836.73
2018-03-30,24.93,25.17,24.95,24.83,50809.03,0.02,0.08,24.726,25.388,24.813,83239.47,123275.62,100151.54
2018-03-29,24.68,25.23,24.92,24.65,76896.78,0.21,0.85,24.522,25.413,24.782,104047.87,138342.89,100670.79
2018-03-28,24.25,24.73,24.72,24.1,71945.65,-0.29,-1.16,24.854,25.331,24.745,110876.19,139501.77,99166.91
2018-03-27,24.33,25.54,24.97,24.33,125113.3,0.89,3.7,25.11,25.31,24.71,123807.3,146802.21,98164.82
2018-03-26,23.29,24.3,24.07,22.15,91432.61,0.14,0.58,25.434,25.273,24.67,127162.84,142813.44,96688.06
2018-03-23,25.2,25.49,23.93,23.93,154851.02,-2.66,-10.0,26.05,25.27,24.643,163311.76,138382.58,95165.68
2018-03-22,25.81,26.8,26.58,25.71,111038.39,0.6,2.31,26.304,25.265,24.587,172637.91,126897.29,90068.83
2018-03-21,26.45,27.12,26.0,25.8,136601.16,-0.57,-2.15,25.808,25.006,24.372,168127.35,119235.09,86322.17
2018-03-20,26.51,26.88,26.59,26.12,141891.0,-0.56,-2.06,25.51,24.796,24.168,169797.12,109875.7,80658.66
2018-03-19,25.01,27.58,27.15,24.93,272177.25,1.89,7.48,25.112,24.54,23.913,158464.05,100493.2,75104.23
2018-03-16,25.99,26.3,25.2,25.0,201481.75,1.1,4.56,24.49,24.238,23.615,113453.39,77027.45,63117.64
2018-03-15,23.9,24.76,24.1,23.53,88485.57,-0.41,-1.67,24.226,24.151,23.373,81156.66,62998.7,55758.75
2018-03-14,25.9,26.88,24.51,24.4,144950.02,-0.08,-0.33,24.204,24.159,23.262,70342.84,58832.04,52687.88
2018-03-13,24.0,24.75,24.6,23.94,85225.65,0.57,2.37,24.082,24.11,23.126,49954.28,49527.44,48133.04
2018-03-12,23.87,24.45,24.04,23.84,47123.97,0.15,0.63,23.968,24.066,23.011,42522.35,50562.68,46649.51
2018-03-09,23.91,24.03,23.88,23.74,39998.1,-0.11,-0.46,23.986,24.015,22.972,40601.51,51948.79,46910.38
2018-03-08,23.82,24.1,23.99,23.71,34416.47,0.09,0.38,24.076,23.909,22.909,44840.73,53240.38,46572.58
2018-03-07,24.06,24.28,23.9,23.89,43007.21,-0.11,-0.46,24.114,23.738,22.831,47321.24,53409.24,48172.49
2018-03-06,24.2,24.28,24.03,23.82,48066.02,-0.08,-0.33,24.138,23.54,22.822,49100.6,51441.62,48479.88
2018-03-05,24.48,24.48,24.13,23.91,37519.75,-0.21,-0.86,24.164,23.285,22.812,58603.0,49715.26,47697.6
2018-03-02,23.9,24.39,24.33,23.63,61194.21,0.13,0.54,24.044,22.991,22.794,63296.07,49207.83,49095.1
2018-03-01,23.69,24.48,24.18,23.56,46819.0,0.16,0.67,23.742,22.594,22.802,61640.03,48518.81,48565.49
2018-02-28,24.31,24.4,24.02,23.3,51904.01,-0.14,-0.58,23.362,22.364,22.811,59497.23,46543.72,51429.41
2018-02-27,23.53,25.88,24.16,23.53,95578.03,0.63,2.68,22.942,22.142,22.875,53782.64,46738.65,55576.11
2018-02-26,22.8,23.78,23.53,22.8,60985.11,0.69,3.02,22.406,21.955,22.942,40827.52,42736.34,56007.5
2018-02-23,22.88,23.37,22.82,22.71,52914.01,0.54,2.42,21.938,21.929,23.022,35119.58,41871.97,56372.85
2018-02-22,22.25,22.76,22.28,22.02,36105.01,0.36,1.64,21.446,21.909,23.137,35397.58,39904.78,60149.6
2018-02-14,21.49,21.99,21.92,21.48,23331.04,0.44,2.05,21.366,21.923,23.253,33590.21,42935.74,61716.11
2018-02-13,21.4,21.9,21.48,21.31,30802.45,0.28,1.32,21.342,22.103,23.387,39694.65,45518.14,65161.68
2018-02-12,20.7,21.4,21.19,20.63,32445.39,0.82,4.03,21.504,22.338,23.533,44645.16,45679.94,68686.33
